"Time Interval (CET/CEST)","Area","Unit Name","Unit Code","Type","Instance Code","MTU (CET/CEST)","Generation (MW)","Consumption (MW)"
"04/11/2025 00:00 - 05/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","04/11/2025 00:00 - 04/11/2025 01:00","29.25",""
"04/11/2025 00:00 - 05/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","04/11/2025 01:00 - 04/11/2025 02:00","119.83",""
"04/11/2025 00:00 - 05/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","04/11/2025 02:00 - 04/11/2025 03:00","129.80",""
"04/11/2025 00:00 - 05/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","04/11/2025 03:00 - 04/11/2025 04:00","130.00",""
"04/11/2025 00:00 - 05/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","04/11/2025 04:00 - 04/11/2025 05:00","156.55",""
"04/11/2025 00:00 - 05/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","04/11/2025 05:00 - 04/11/2025 06:00","165.70",""
"04/11/2025 00:00 - 05/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","04/11/2025 06:00 - 04/11/2025 07:00","171.78",""
"04/11/2025 00:00 - 05/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","04/11/2025 07:00 - 04/11/2025 08:00","171.60",""
"04/11/2025 00:00 - 05/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","04/11/2025 08:00 - 04/11/2025 09:00","171.85",""
"04/11/2025 00:00 - 05/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","04/11/2025 09:00 - 04/11/2025 10:00","167.88",""
"04/11/2025 00:00 - 05/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","04/11/2025 10:00 - 04/11/2025 11:00","100.80",""
"04/11/2025 00:00 - 05/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","04/11/2025 11:00 - 04/11/2025 12:00","66.80",""
"04/11/2025 00:00 - 05/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","04/11/2025 12:00 - 04/11/2025 13:00","66.75",""
"04/11/2025 00:00 - 05/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","04/11/2025 13:00 - 04/11/2025 14:00","108.70",""
"04/11/2025 00:00 - 05/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","04/11/2025 14:00 - 04/11/2025 15:00","67.95",""
"04/11/2025 00:00 - 05/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","04/11/2025 15:00 - 04/11/2025 16:00","136.55",""
"04/11/2025 00:00 - 05/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","04/11/2025 16:00 - 04/11/2025 17:00","164.07",""
"04/11/2025 00:00 - 05/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","04/11/2025 17:00 - 04/11/2025 18:00","169.28",""
"04/11/2025 00:00 - 05/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","04/11/2025 18:00 - 04/11/2025 19:00","170.50",""
"04/11/2025 00:00 - 05/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","04/11/2025 19:00 - 04/11/2025 20:00","170.55",""
"04/11/2025 00:00 - 05/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","04/11/2025 20:00 - 04/11/2025 21:00","170.43",""
"04/11/2025 00:00 - 05/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","04/11/2025 21:00 - 04/11/2025 22:00","118.53",""
"04/11/2025 00:00 - 05/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","04/11/2025 22:00 - 04/11/2025 23:00","99.80",""
"04/11/2025 00:00 - 05/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","04/11/2025 23:00 - 05/11/2025 00:00","66.63",""
"04/11/2025 00:00 - 05/11/2025 00:00","","GuD Marzahn","11W0-0000-0104-6","Fossil Gas","11W0-0000-0104-6","04/11/2025 00:00 - 04/11/2025 01:00","92.75",""
"04/11/2025 00:00 - 05/11/2025 00:00","","GuD Marzahn","11W0-0000-0104-6","Fossil Gas","11W0-0000-0104-6","04/11/2025 01:00 - 04/11/2025 02:00","104.00",""
"04/11/2025 00:00 - 05/11/2025 00:00","","GuD Marzahn","11W0-0000-0104-6","Fossil Gas","11W0-0000-0104-6","04/11/2025 02:00 - 04/11/2025 03:00","104.25",""
"04/11/2025 00:00 - 05/11/2025 00:00","","GuD Marzahn","11W0-0000-0104-6","Fossil Gas","11W0-0000-0104-6","04/11/2025 03:00 - 04/11/2025 04:00","114.50",""
"04/11/2025 00:00 - 05/11/2025 00:00","","GuD Marzahn","11W0-0000-0104-6","Fossil Gas","11W0-0000-0104-6","04/11/2025 04:00 - 04/11/2025 05:00","127.50",""
"04/11/2025 00:00 - 05/11/2025 00:00","","GuD Marzahn","11W0-0000-0104-6","Fossil Gas","11W0-0000-0104-6","04/11/2025 05:00 - 04/11/2025 06:00","174.00",""
"04/11/2025 00:00 - 05/11/2025 00:00","","GuD Marzahn","11W0-0000-0104-6","Fossil Gas","11W0-0000-0104-6","04/11/2025 06:00 - 04/11/2025 07:00","206.25",""
