"Time Interval (CET/CEST)","Area","Unit Name","Unit Code","Type","Instance Code","MTU (CET/CEST)","Generation (MW)","Consumption (MW)"
"07/11/2025 00:00 - 08/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","07/11/2025 00:00 - 07/11/2025 01:00","105.67",""
"07/11/2025 00:00 - 08/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","07/11/2025 01:00 - 07/11/2025 02:00","105.70",""
"07/11/2025 00:00 - 08/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","07/11/2025 02:00 - 07/11/2025 03:00","105.65",""
"07/11/2025 00:00 - 08/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","07/11/2025 03:00 - 07/11/2025 04:00","144.93",""
"07/11/2025 00:00 - 08/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","07/11/2025 04:00 - 07/11/2025 05:00","196.00",""
"07/11/2025 00:00 - 08/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","07/11/2025 05:00 - 07/11/2025 06:00","231.22",""
"07/11/2025 00:00 - 08/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","07/11/2025 06:00 - 07/11/2025 07:00","231.30",""
"07/11/2025 00:00 - 08/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","07/11/2025 07:00 - 07/11/2025 08:00","231.45",""
"07/11/2025 00:00 - 08/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","07/11/2025 08:00 - 07/11/2025 09:00","231.38",""
"07/11/2025 00:00 - 08/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","07/11/2025 09:00 - 07/11/2025 10:00","230.30",""
"07/11/2025 00:00 - 08/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","07/11/2025 10:00 - 07/11/2025 11:00","147.13",""
"07/11/2025 00:00 - 08/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","07/11/2025 11:00 - 07/11/2025 12:00","146.25",""
"07/11/2025 00:00 - 08/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","07/11/2025 12:00 - 07/11/2025 13:00","146.18",""
"07/11/2025 00:00 - 08/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","07/11/2025 13:00 - 07/11/2025 14:00","146.65",""
"07/11/2025 00:00 - 08/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","07/11/2025 14:00 - 07/11/2025 15:00","195.93",""
"07/11/2025 00:00 - 08/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","07/11/2025 15:00 - 07/11/2025 16:00","230.18",""
"07/11/2025 00:00 - 08/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","07/11/2025 16:00 - 07/11/2025 17:00","231.35",""
"07/11/2025 00:00 - 08/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","07/11/2025 17:00 - 07/11/2025 18:00","232.47",""
