"Time Interval (CET/CEST)","Area","Unit Name","Unit Code","Type","Instance Code","MTU (CET/CEST)","Generation (MW)","Consumption (MW)"
"05/11/2025 00:00 - 06/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","05/11/2025 00:00 - 05/11/2025 01:00","66.22",""
"05/11/2025 00:00 - 06/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","05/11/2025 01:00 - 05/11/2025 02:00","145.45",""
"05/11/2025 00:00 - 06/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","05/11/2025 02:00 - 05/11/2025 03:00","156.55",""
"05/11/2025 00:00 - 06/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","05/11/2025 03:00 - 05/11/2025 04:00","156.43",""
"05/11/2025 00:00 - 06/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","05/11/2025 04:00 - 05/11/2025 05:00","158.40",""
"05/11/2025 00:00 - 06/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","05/11/2025 05:00 - 05/11/2025 06:00","164.13",""
"05/11/2025 00:00 - 06/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","05/11/2025 06:00 - 05/11/2025 07:00","171.18",""
"05/11/2025 00:00 - 06/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","05/11/2025 07:00 - 05/11/2025 08:00","168.28",""
"05/11/2025 00:00 - 06/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","05/11/2025 08:00 - 05/11/2025 09:00","68.88",""
"05/11/2025 00:00 - 06/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","05/11/2025 09:00 - 05/11/2025 10:00","66.13",""
"05/11/2025 00:00 - 06/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","05/11/2025 10:00 - 05/11/2025 11:00","66.05",""
"05/11/2025 00:00 - 06/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","05/11/2025 11:00 - 05/11/2025 12:00","81.20",""
