"Time Interval (CET/CEST)","Area","Unit Name","Unit Code","Type","Instance Code","MTU (CET/CEST)","Generation (MW)","Consumption (MW)"
"09/11/2025 00:00 - 10/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","09/11/2025 00:00 - 09/11/2025 01:00","158.43",""
"09/11/2025 00:00 - 10/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","09/11/2025 01:00 - 09/11/2025 02:00","150.45",""
"09/11/2025 00:00 - 10/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","09/11/2025 02:00 - 09/11/2025 03:00","150.50",""
"09/11/2025 00:00 - 10/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","09/11/2025 03:00 - 09/11/2025 04:00","150.50",""
"09/11/2025 00:00 - 10/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","09/11/2025 04:00 - 09/11/2025 05:00","160.47",""
"09/11/2025 00:00 - 10/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","09/11/2025 05:00 - 09/11/2025 06:00","160.43",""
"09/11/2025 00:00 - 10/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","09/11/2025 06:00 - 09/11/2025 07:00","156.20",""
"09/11/2025 00:00 - 10/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","09/11/2025 07:00 - 09/11/2025 08:00","156.13",""
"09/11/2025 00:00 - 10/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","09/11/2025 08:00 - 09/11/2025 09:00","157.28",""
"09/11/2025 00:00 - 10/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","09/11/2025 09:00 - 09/11/2025 10:00","234.28",""
"09/11/2025 00:00 - 10/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","09/11/2025 10:00 - 09/11/2025 11:00","234.93",""
"09/11/2025 00:00 - 10/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","09/11/2025 11:00 - 09/11/2025 12:00","235.07",""
"09/11/2025 00:00 - 10/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","09/11/2025 12:00 - 09/11/2025 13:00","233.93",""
"09/11/2025 00:00 - 10/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","09/11/2025 13:00 - 09/11/2025 14:00","232.85",""
"09/11/2025 00:00 - 10/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","09/11/2025 14:00 - 09/11/2025 15:00","232.75",""
"09/11/2025 00:00 - 10/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","09/11/2025 15:00 - 09/11/2025 16:00","232.88",""
"09/11/2025 00:00 - 10/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","09/11/2025 16:00 - 09/11/2025 17:00","232.97",""
"09/11/2025 00:00 - 10/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","09/11/2025 17:00 - 09/11/2025 18:00","233.30",""
"09/11/2025 00:00 - 10/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","09/11/2025 18:00 - 09/11/2025 19:00","233.30",""
"09/11/2025 00:00 - 10/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","09/11/2025 19:00 - 09/11/2025 20:00","233.63",""
"09/11/2025 00:00 - 10/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","09/11/2025 20:00 - 09/11/2025 21:00","232.60",""
"09/11/2025 00:00 - 10/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","09/11/2025 21:00 - 09/11/2025 22:00","156.07",""
"09/11/2025 00:00 - 10/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","09/11/2025 22:00 - 09/11/2025 23:00","155.35",""
"09/11/2025 00:00 - 10/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","09/11/2025 23:00 - 10/11/2025 00:00","154.97",""
"09/11/2025 00:00 - 10/11/2025 00:00","","GuD Marzahn","11W0-0000-0104-6","Fossil Gas","11W0-0000-0104-6","09/11/2025 00:00 - 09/11/2025 01:00","245.00",""
