"Time Interval (CET/CEST)","Area","Unit Name","Unit Code","Type","Instance Code","MTU (CET/CEST)","Generation (MW)","Consumption (MW)"
"08/11/2025 00:00 - 09/11/2025 00:00","","GuD Marzahn","11W0-0000-0104-6","Fossil Gas","11W0-0000-0104-6","08/11/2025 02:00 - 08/11/2025 03:00","245.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","GuD Marzahn","11W0-0000-0104-6","Fossil Gas","11W0-0000-0104-6","08/11/2025 03:00 - 08/11/2025 04:00","245.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","GuD Marzahn","11W0-0000-0104-6","Fossil Gas","11W0-0000-0104-6","08/11/2025 04:00 - 08/11/2025 05:00","245.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","GuD Marzahn","11W0-0000-0104-6","Fossil Gas","11W0-0000-0104-6","08/11/2025 05:00 - 08/11/2025 06:00","245.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","GuD Marzahn","11W0-0000-0104-6","Fossil Gas","11W0-0000-0104-6","08/11/2025 06:00 - 08/11/2025 07:00","245.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","GuD Marzahn","11W0-0000-0104-6","Fossil Gas","11W0-0000-0104-6","08/11/2025 07:00 - 08/11/2025 08:00","245.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","GuD Marzahn","11W0-0000-0104-6","Fossil Gas","11W0-0000-0104-6","08/11/2025 08:00 - 08/11/2025 09:00","245.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","GuD Marzahn","11W0-0000-0104-6","Fossil Gas","11W0-0000-0104-6","08/11/2025 09:00 - 08/11/2025 10:00","245.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","GuD Marzahn","11W0-0000-0104-6","Fossil Gas","11W0-0000-0104-6","08/11/2025 10:00 - 08/11/2025 11:00","245.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","GuD Marzahn","11W0-0000-0104-6","Fossil Gas","11W0-0000-0104-6","08/11/2025 11:00 - 08/11/2025 12:00","245.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","GuD Marzahn","11W0-0000-0104-6","Fossil Gas","11W0-0000-0104-6","08/11/2025 12:00 - 08/11/2025 13:00","235.50",""
"08/11/2025 00:00 - 09/11/2025 00:00","","GuD Marzahn","11W0-0000-0104-6","Fossil Gas","11W0-0000-0104-6","08/11/2025 13:00 - 08/11/2025 14:00","243.50",""
"08/11/2025 00:00 - 09/11/2025 00:00","","GuD Marzahn","11W0-0000-0104-6","Fossil Gas","11W0-0000-0104-6","08/11/2025 14:00 - 08/11/2025 15:00","245.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","GuD Marzahn","11W0-0000-0104-6","Fossil Gas","11W0-0000-0104-6","08/11/2025 15:00 - 08/11/2025 16:00","245.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","GuD Marzahn","11W0-0000-0104-6","Fossil Gas","11W0-0000-0104-6","08/11/2025 16:00 - 08/11/2025 17:00","245.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","GuD Marzahn","11W0-0000-0104-6","Fossil Gas","11W0-0000-0104-6","08/11/2025 17:00 - 08/11/2025 18:00","245.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","GuD Marzahn","11W0-0000-0104-6","Fossil Gas","11W0-0000-0104-6","08/11/2025 18:00 - 08/11/2025 19:00","245.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","GuD Marzahn","11W0-0000-0104-6","Fossil Gas","11W0-0000-0104-6","08/11/2025 19:00 - 08/11/2025 20:00","245.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","GuD Marzahn","11W0-0000-0104-6","Fossil Gas","11W0-0000-0104-6","08/11/2025 20:00 - 08/11/2025 21:00","245.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","GuD Marzahn","11W0-0000-0104-6","Fossil Gas","11W0-0000-0104-6","08/11/2025 21:00 - 08/11/2025 22:00","245.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","GuD Marzahn","11W0-0000-0104-6","Fossil Gas","11W0-0000-0104-6","08/11/2025 22:00 - 08/11/2025 23:00","245.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","GuD Marzahn","11W0-0000-0104-6","Fossil Gas","11W0-0000-0104-6","08/11/2025 23:00 - 09/11/2025 00:00","245.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","HKW Klingenberg 1-3","11WD8KLIN5G--13E","Fossil Gas","11WD8KLIN5G--13E","08/11/2025 00:00 - 08/11/2025 01:00","73.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","HKW Klingenberg 1-3","11WD8KLIN5G--13E","Fossil Gas","11WD8KLIN5G--13E","08/11/2025 01:00 - 08/11/2025 02:00","68.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","HKW Klingenberg 1-3","11WD8KLIN5G--13E","Fossil Gas","11WD8KLIN5G--13E","08/11/2025 02:00 - 08/11/2025 03:00","68.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","HKW Klingenberg 1-3","11WD8KLIN5G--13E","Fossil Gas","11WD8KLIN5G--13E","08/11/2025 03:00 - 08/11/2025 04:00","68.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","HKW Klingenberg 1-3","11WD8KLIN5G--13E","Fossil Gas","11WD8KLIN5G--13E","08/11/2025 04:00 - 08/11/2025 05:00","69.50",""
"08/11/2025 00:00 - 09/11/2025 00:00","","HKW Klingenberg 1-3","11WD8KLIN5G--13E","Fossil Gas","11WD8KLIN5G--13E","08/11/2025 05:00 - 08/11/2025 06:00","87.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","HKW Klingenberg 1-3","11WD8KLIN5G--13E","Fossil Gas","11WD8KLIN5G--13E","08/11/2025 06:00 - 08/11/2025 07:00","87.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","HKW Klingenberg 1-3","11WD8KLIN5G--13E","Fossil Gas","11WD8KLIN5G--13E","08/11/2025 07:00 - 08/11/2025 08:00","87.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","HKW Klingenberg 1-3","11WD8KLIN5G--13E","Fossil Gas","11WD8KLIN5G--13E","08/11/2025 08:00 - 08/11/2025 09:00","87.25",""
"08/11/2025 00:00 - 09/11/2025 00:00","","HKW Klingenberg 1-3","11WD8KLIN5G--13E","Fossil Gas","11WD8KLIN5G--13E","08/11/2025 09:00 - 08/11/2025 10:00","87.00",""
