"Time Interval (CET/CEST)","Area","Unit Name","Unit Code","Type","Instance Code","MTU (CET/CEST)","Generation (MW)","Consumption (MW)"
"09/04/2026 00:00 - 10/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","09/04/2026 00:00 - 09/04/2026 01:00","211.00",""
"09/04/2026 00:00 - 10/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","09/04/2026 01:00 - 09/04/2026 02:00","202.50",""
"09/04/2026 00:00 - 10/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","09/04/2026 02:00 - 09/04/2026 03:00","194.50",""
"09/04/2026 00:00 - 10/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","09/04/2026 03:00 - 09/04/2026 04:00","189.00",""
"09/04/2026 00:00 - 10/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","09/04/2026 04:00 - 09/04/2026 05:00","188.00",""
"09/04/2026 00:00 - 10/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","09/04/2026 05:00 - 09/04/2026 06:00","192.25",""
"09/04/2026 00:00 - 10/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","09/04/2026 06:00 - 09/04/2026 07:00","192.25",""
"09/04/2026 00:00 - 10/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","09/04/2026 07:00 - 09/04/2026 08:00","184.25",""
"09/04/2026 00:00 - 10/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","09/04/2026 08:00 - 09/04/2026 09:00","189.00",""
"09/04/2026 00:00 - 10/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","09/04/2026 09:00 - 09/04/2026 10:00","196.50",""
"09/04/2026 00:00 - 10/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","09/04/2026 10:00 - 09/04/2026 11:00","190.75",""
"09/04/2026 00:00 - 10/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","09/04/2026 11:00 - 09/04/2026 12:00","200.50",""
"09/04/2026 00:00 - 10/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","09/04/2026 12:00 - 09/04/2026 13:00","211.00",""
"09/04/2026 00:00 - 10/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","09/04/2026 13:00 - 09/04/2026 14:00","211.00",""
"09/04/2026 00:00 - 10/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","09/04/2026 14:00 - 09/04/2026 15:00","211.00",""
"09/04/2026 00:00 - 10/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","09/04/2026 15:00 - 09/04/2026 16:00","211.00",""
"09/04/2026 00:00 - 10/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","09/04/2026 16:00 - 09/04/2026 17:00","211.00",""
"09/04/2026 00:00 - 10/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","09/04/2026 17:00 - 09/04/2026 18:00","211.00",""
"09/04/2026 00:00 - 10/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","09/04/2026 18:00 - 09/04/2026 19:00","211.00",""
"09/04/2026 00:00 - 10/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","09/04/2026 19:00 - 09/04/2026 20:00","211.00",""
