"Time Interval (CET/CEST)","Area","Unit Name","Unit Code","Type","Instance Code","MTU (CET/CEST)","Generation (MW)","Consumption (MW)"
"02/04/2026 00:00 - 03/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","02/04/2026 00:00 - 02/04/2026 01:00","211.00",""
"02/04/2026 00:00 - 03/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","02/04/2026 01:00 - 02/04/2026 02:00","185.00",""
"02/04/2026 00:00 - 03/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","02/04/2026 02:00 - 02/04/2026 03:00","123.25",""
"02/04/2026 00:00 - 03/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","02/04/2026 03:00 - 02/04/2026 04:00","110.75",""
"02/04/2026 00:00 - 03/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","02/04/2026 04:00 - 02/04/2026 05:00","103.50",""
"02/04/2026 00:00 - 03/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","02/04/2026 05:00 - 02/04/2026 06:00","122.50",""
"02/04/2026 00:00 - 03/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","02/04/2026 06:00 - 02/04/2026 07:00","136.00",""
"02/04/2026 00:00 - 03/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","02/04/2026 07:00 - 02/04/2026 08:00","136.25",""
"02/04/2026 00:00 - 03/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","02/04/2026 08:00 - 02/04/2026 09:00","141.75",""
"02/04/2026 00:00 - 03/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","02/04/2026 09:00 - 02/04/2026 10:00","138.00",""
"02/04/2026 00:00 - 03/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","02/04/2026 10:00 - 02/04/2026 11:00","127.00",""
"02/04/2026 00:00 - 03/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","02/04/2026 11:00 - 02/04/2026 12:00","167.00",""
"02/04/2026 00:00 - 03/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","02/04/2026 12:00 - 02/04/2026 13:00","211.00",""
"02/04/2026 00:00 - 03/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","02/04/2026 13:00 - 02/04/2026 14:00","211.00",""
"02/04/2026 00:00 - 03/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","02/04/2026 14:00 - 02/04/2026 15:00","211.00",""
"02/04/2026 00:00 - 03/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","02/04/2026 15:00 - 02/04/2026 16:00","211.00",""
"02/04/2026 00:00 - 03/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","02/04/2026 16:00 - 02/04/2026 17:00","211.00",""
