"Time Interval (CET/CEST)","Area","Unit Name","Unit Code","Type","Instance Code","MTU (CET/CEST)","Generation (MW)","Consumption (MW)"
"08/04/2026 00:00 - 09/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","08/04/2026 00:00 - 08/04/2026 01:00","211.00",""
"08/04/2026 00:00 - 09/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","08/04/2026 01:00 - 08/04/2026 02:00","189.50",""
"08/04/2026 00:00 - 09/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","08/04/2026 02:00 - 08/04/2026 03:00","179.25",""
"08/04/2026 00:00 - 09/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","08/04/2026 03:00 - 08/04/2026 04:00","186.50",""
"08/04/2026 00:00 - 09/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","08/04/2026 04:00 - 08/04/2026 05:00","178.75",""
"08/04/2026 00:00 - 09/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","08/04/2026 05:00 - 08/04/2026 06:00","180.25",""
"08/04/2026 00:00 - 09/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","08/04/2026 06:00 - 08/04/2026 07:00","184.75",""
"08/04/2026 00:00 - 09/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","08/04/2026 07:00 - 08/04/2026 08:00","181.50",""
"08/04/2026 00:00 - 09/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","08/04/2026 08:00 - 08/04/2026 09:00","179.75",""
"08/04/2026 00:00 - 09/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","08/04/2026 09:00 - 08/04/2026 10:00","190.50",""
