"Time Interval (CET/CEST)","Area","Unit Name","Unit Code","Type","Instance Code","MTU (CET/CEST)","Generation (MW)","Consumption (MW)"
"12/04/2026 00:00 - 13/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","12/04/2026 00:00 - 12/04/2026 01:00","211.00",""
"12/04/2026 00:00 - 13/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","12/04/2026 01:00 - 12/04/2026 02:00","202.50",""
"12/04/2026 00:00 - 13/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","12/04/2026 02:00 - 12/04/2026 03:00","190.00",""
"12/04/2026 00:00 - 13/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","12/04/2026 03:00 - 12/04/2026 04:00","193.00",""
"12/04/2026 00:00 - 13/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","12/04/2026 04:00 - 12/04/2026 05:00","190.25",""
"12/04/2026 00:00 - 13/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","12/04/2026 05:00 - 12/04/2026 06:00","197.25",""
"12/04/2026 00:00 - 13/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","12/04/2026 06:00 - 12/04/2026 07:00","189.50",""
"12/04/2026 00:00 - 13/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","12/04/2026 07:00 - 12/04/2026 08:00","194.50",""
"12/04/2026 00:00 - 13/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","12/04/2026 08:00 - 12/04/2026 09:00","198.00",""
"12/04/2026 00:00 - 13/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","12/04/2026 09:00 - 12/04/2026 10:00","196.50",""
"12/04/2026 00:00 - 13/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","12/04/2026 10:00 - 12/04/2026 11:00","200.50",""
"12/04/2026 00:00 - 13/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","12/04/2026 11:00 - 12/04/2026 12:00","207.00",""
"12/04/2026 00:00 - 13/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","12/04/2026 12:00 - 12/04/2026 13:00","211.00",""
"12/04/2026 00:00 - 13/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","12/04/2026 13:00 - 12/04/2026 14:00","211.00",""
"12/04/2026 00:00 - 13/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","12/04/2026 14:00 - 12/04/2026 15:00","211.00",""
"12/04/2026 00:00 - 13/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","12/04/2026 15:00 - 12/04/2026 16:00","211.00",""
"12/04/2026 00:00 - 13/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","12/04/2026 16:00 - 12/04/2026 17:00","211.00",""
