"Time Interval (CET/CEST)","Area","Unit Name","Unit Code","Type","Instance Code","MTU (CET/CEST)","Generation (MW)","Consumption (MW)"
"17/04/2026 00:00 - 18/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","17/04/2026 00:00 - 17/04/2026 01:00","211.00",""
"17/04/2026 00:00 - 18/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","17/04/2026 01:00 - 17/04/2026 02:00","179.25",""
"17/04/2026 00:00 - 18/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","17/04/2026 02:00 - 17/04/2026 03:00","144.50",""
"17/04/2026 00:00 - 18/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","17/04/2026 03:00 - 17/04/2026 04:00","163.00",""
"17/04/2026 00:00 - 18/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","17/04/2026 04:00 - 17/04/2026 05:00","185.75",""
"17/04/2026 00:00 - 18/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","17/04/2026 05:00 - 17/04/2026 06:00","190.75",""
"17/04/2026 00:00 - 18/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","17/04/2026 06:00 - 17/04/2026 07:00","179.00",""
"17/04/2026 00:00 - 18/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","17/04/2026 07:00 - 17/04/2026 08:00","184.75",""
"17/04/2026 00:00 - 18/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","17/04/2026 08:00 - 17/04/2026 09:00","191.25",""
"17/04/2026 00:00 - 18/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","17/04/2026 09:00 - 17/04/2026 10:00","188.00",""
"17/04/2026 00:00 - 18/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","17/04/2026 10:00 - 17/04/2026 11:00","201.50",""
"17/04/2026 00:00 - 18/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","17/04/2026 11:00 - 17/04/2026 12:00","211.00",""
"17/04/2026 00:00 - 18/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","17/04/2026 12:00 - 17/04/2026 13:00","211.00",""
"17/04/2026 00:00 - 18/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","17/04/2026 13:00 - 17/04/2026 14:00","211.00",""
"17/04/2026 00:00 - 18/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","17/04/2026 14:00 - 17/04/2026 15:00","211.00",""
"17/04/2026 00:00 - 18/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","17/04/2026 15:00 - 17/04/2026 16:00","211.00",""
"17/04/2026 00:00 - 18/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","17/04/2026 16:00 - 17/04/2026 17:00","211.00",""
"17/04/2026 00:00 - 18/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","17/04/2026 17:00 - 17/04/2026 18:00","211.00",""
"17/04/2026 00:00 - 18/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","17/04/2026 18:00 - 17/04/2026 19:00","211.00",""
"17/04/2026 00:00 - 18/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","17/04/2026 19:00 - 17/04/2026 20:00","211.00",""
"17/04/2026 00:00 - 18/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","17/04/2026 20:00 - 17/04/2026 21:00","211.00",""
"17/04/2026 00:00 - 18/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","17/04/2026 21:00 - 17/04/2026 22:00","211.00",""
"17/04/2026 00:00 - 18/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","17/04/2026 22:00 - 17/04/2026 23:00","211.00",""
