"Time Interval (CET/CEST)","Area","Unit Name","Unit Code","Type","Instance Code","MTU (CET/CEST)","Generation (MW)","Consumption (MW)"
"07/04/2026 00:00 - 08/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","07/04/2026 00:00 - 07/04/2026 01:00","211.00",""
"07/04/2026 00:00 - 08/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","07/04/2026 01:00 - 07/04/2026 02:00","202.75",""
"07/04/2026 00:00 - 08/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","07/04/2026 02:00 - 07/04/2026 03:00","193.00",""
"07/04/2026 00:00 - 08/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","07/04/2026 03:00 - 07/04/2026 04:00","197.00",""
"07/04/2026 00:00 - 08/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","07/04/2026 04:00 - 07/04/2026 05:00","186.75",""
"07/04/2026 00:00 - 08/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","07/04/2026 05:00 - 07/04/2026 06:00","170.25",""
"07/04/2026 00:00 - 08/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","07/04/2026 06:00 - 07/04/2026 07:00","186.25",""
"07/04/2026 00:00 - 08/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","07/04/2026 07:00 - 07/04/2026 08:00","194.00",""
"07/04/2026 00:00 - 08/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","07/04/2026 08:00 - 07/04/2026 09:00","197.75",""
"07/04/2026 00:00 - 08/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","07/04/2026 09:00 - 07/04/2026 10:00","201.75",""
"07/04/2026 00:00 - 08/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","07/04/2026 10:00 - 07/04/2026 11:00","194.00",""
"07/04/2026 00:00 - 08/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","07/04/2026 11:00 - 07/04/2026 12:00","203.00",""
"07/04/2026 00:00 - 08/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","07/04/2026 12:00 - 07/04/2026 13:00","211.00",""
"07/04/2026 00:00 - 08/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","07/04/2026 13:00 - 07/04/2026 14:00","211.00",""
"07/04/2026 00:00 - 08/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","07/04/2026 14:00 - 07/04/2026 15:00","211.00",""
"07/04/2026 00:00 - 08/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","07/04/2026 15:00 - 07/04/2026 16:00","211.00",""
"07/04/2026 00:00 - 08/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","07/04/2026 16:00 - 07/04/2026 17:00","211.00",""
"07/04/2026 00:00 - 08/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","07/04/2026 17:00 - 07/04/2026 18:00","211.00",""
"07/04/2026 00:00 - 08/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","07/04/2026 18:00 - 07/04/2026 19:00","211.00",""
"07/04/2026 00:00 - 08/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","07/04/2026 19:00 - 07/04/2026 20:00","211.00",""
"07/04/2026 00:00 - 08/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","07/04/2026 20:00 - 07/04/2026 21:00","211.00",""
"07/04/2026 00:00 - 08/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","07/04/2026 21:00 - 07/04/2026 22:00","211.00",""
