"Time Interval (CET/CEST)","Area","Unit Name","Unit Code","Type","Instance Code","MTU (CET/CEST)","Generation (MW)","Consumption (MW)"
"22/04/2026 00:00 - 23/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","22/04/2026 00:00 - 22/04/2026 01:00","211.00",""
"22/04/2026 00:00 - 23/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","22/04/2026 01:00 - 22/04/2026 02:00","207.50",""
"22/04/2026 00:00 - 23/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","22/04/2026 02:00 - 22/04/2026 03:00","198.25",""
"22/04/2026 00:00 - 23/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","22/04/2026 03:00 - 22/04/2026 04:00","204.25",""
"22/04/2026 00:00 - 23/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","22/04/2026 04:00 - 22/04/2026 05:00","201.00",""
"22/04/2026 00:00 - 23/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","22/04/2026 05:00 - 22/04/2026 06:00","201.00",""
"22/04/2026 00:00 - 23/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","22/04/2026 06:00 - 22/04/2026 07:00","192.25",""
"22/04/2026 00:00 - 23/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","22/04/2026 07:00 - 22/04/2026 08:00","186.75",""
"22/04/2026 00:00 - 23/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","22/04/2026 08:00 - 22/04/2026 09:00","186.00",""
"22/04/2026 00:00 - 23/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","22/04/2026 09:00 - 22/04/2026 10:00","182.25",""
"22/04/2026 00:00 - 23/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","22/04/2026 10:00 - 22/04/2026 11:00","193.50",""
"22/04/2026 00:00 - 23/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","22/04/2026 11:00 - 22/04/2026 12:00","211.00",""
"22/04/2026 00:00 - 23/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","22/04/2026 12:00 - 22/04/2026 13:00","211.00",""
"22/04/2026 00:00 - 23/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","22/04/2026 13:00 - 22/04/2026 14:00","211.00",""
"22/04/2026 00:00 - 23/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","22/04/2026 14:00 - 22/04/2026 15:00","211.00",""
"22/04/2026 00:00 - 23/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","22/04/2026 15:00 - 22/04/2026 16:00","211.00",""
"22/04/2026 00:00 - 23/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","22/04/2026 16:00 - 22/04/2026 17:00","211.00",""
"22/04/2026 00:00 - 23/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","22/04/2026 17:00 - 22/04/2026 18:00","211.00",""
"22/04/2026 00:00 - 23/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","22/04/2026 18:00 - 22/04/2026 19:00","211.00",""
"22/04/2026 00:00 - 23/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","22/04/2026 19:00 - 22/04/2026 20:00","211.00",""
"22/04/2026 00:00 - 23/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","22/04/2026 20:00 - 22/04/2026 21:00","211.00",""
"22/04/2026 00:00 - 23/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","22/04/2026 21:00 - 22/04/2026 22:00","211.00",""
"22/04/2026 00:00 - 23/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","22/04/2026 22:00 - 22/04/2026 23:00","211.00",""
