"Time Interval (CET/CEST)","Area","Unit Name","Unit Code","Type","Instance Code","MTU (CET/CEST)","Generation (MW)","Consumption (MW)"
"19/04/2026 00:00 - 20/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","19/04/2026 00:00 - 19/04/2026 01:00","211.00",""
"19/04/2026 00:00 - 20/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","19/04/2026 01:00 - 19/04/2026 02:00","204.50",""
"19/04/2026 00:00 - 20/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","19/04/2026 02:00 - 19/04/2026 03:00","197.50",""
"19/04/2026 00:00 - 20/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","19/04/2026 03:00 - 19/04/2026 04:00","194.75",""
"19/04/2026 00:00 - 20/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","19/04/2026 04:00 - 19/04/2026 05:00","202.25",""
"19/04/2026 00:00 - 20/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","19/04/2026 05:00 - 19/04/2026 06:00","201.75",""
"19/04/2026 00:00 - 20/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","19/04/2026 06:00 - 19/04/2026 07:00","201.25",""
"19/04/2026 00:00 - 20/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","19/04/2026 07:00 - 19/04/2026 08:00","199.75",""
"19/04/2026 00:00 - 20/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","19/04/2026 08:00 - 19/04/2026 09:00","192.00",""
"19/04/2026 00:00 - 20/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","19/04/2026 09:00 - 19/04/2026 10:00","193.50",""
"19/04/2026 00:00 - 20/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","19/04/2026 10:00 - 19/04/2026 11:00","202.50",""
"19/04/2026 00:00 - 20/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","19/04/2026 11:00 - 19/04/2026 12:00","211.00",""
"19/04/2026 00:00 - 20/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","19/04/2026 12:00 - 19/04/2026 13:00","211.00",""
"19/04/2026 00:00 - 20/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","19/04/2026 13:00 - 19/04/2026 14:00","211.00",""
"19/04/2026 00:00 - 20/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","19/04/2026 14:00 - 19/04/2026 15:00","211.00",""
"19/04/2026 00:00 - 20/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","19/04/2026 15:00 - 19/04/2026 16:00","211.00",""
"19/04/2026 00:00 - 20/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","19/04/2026 16:00 - 19/04/2026 17:00","211.00",""
