"Time Interval (CET/CEST)","Area","Unit Name","Unit Code","Type","Instance Code","MTU (CET/CEST)","Generation (MW)","Consumption (MW)"
"03/11/2025 00:00 - 04/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","03/11/2025 00:00 - 03/11/2025 01:00","152.32",""
"03/11/2025 00:00 - 04/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","03/11/2025 01:00 - 03/11/2025 02:00","152.35",""
"03/11/2025 00:00 - 04/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","03/11/2025 02:00 - 03/11/2025 03:00","151.85",""
"03/11/2025 00:00 - 04/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","03/11/2025 03:00 - 03/11/2025 04:00","93.85",""
"03/11/2025 00:00 - 04/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","03/11/2025 04:00 - 03/11/2025 05:00","151.72",""
"03/11/2025 00:00 - 04/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","03/11/2025 05:00 - 03/11/2025 06:00","152.88",""
"03/11/2025 00:00 - 04/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","03/11/2025 06:00 - 03/11/2025 07:00","151.53",""
"03/11/2025 00:00 - 04/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","03/11/2025 07:00 - 03/11/2025 08:00","67.63",""
"03/11/2025 00:00 - 04/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","03/11/2025 08:00 - 03/11/2025 09:00","65.15",""
"03/11/2025 00:00 - 04/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","03/11/2025 09:00 - 03/11/2025 10:00","65.35",""
