"Time Interval (CET/CEST)","Area","Unit Name","Unit Code","Type","Instance Code","MTU (CET/CEST)","Generation (MW)","Consumption (MW)"
"05/04/2026 00:00 - 06/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","05/04/2026 00:00 - 05/04/2026 01:00","211.00",""
"05/04/2026 00:00 - 06/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","05/04/2026 01:00 - 05/04/2026 02:00","203.75",""
"05/04/2026 00:00 - 06/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","05/04/2026 02:00 - 05/04/2026 03:00","190.50",""
"05/04/2026 00:00 - 06/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","05/04/2026 03:00 - 05/04/2026 04:00","187.25",""
"05/04/2026 00:00 - 06/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","05/04/2026 04:00 - 05/04/2026 05:00","182.00",""
"05/04/2026 00:00 - 06/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","05/04/2026 05:00 - 05/04/2026 06:00","188.00",""
"05/04/2026 00:00 - 06/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","05/04/2026 06:00 - 05/04/2026 07:00","186.25",""
"05/04/2026 00:00 - 06/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","05/04/2026 07:00 - 05/04/2026 08:00","193.50",""
"05/04/2026 00:00 - 06/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","05/04/2026 08:00 - 05/04/2026 09:00","172.75",""
"05/04/2026 00:00 - 06/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","05/04/2026 09:00 - 05/04/2026 10:00","162.00",""
"05/04/2026 00:00 - 06/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","05/04/2026 10:00 - 05/04/2026 11:00","181.50",""
"05/04/2026 00:00 - 06/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","05/04/2026 11:00 - 05/04/2026 12:00","198.00",""
"05/04/2026 00:00 - 06/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","05/04/2026 12:00 - 05/04/2026 13:00","211.00",""
"05/04/2026 00:00 - 06/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","05/04/2026 13:00 - 05/04/2026 14:00","211.00",""
"05/04/2026 00:00 - 06/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","05/04/2026 14:00 - 05/04/2026 15:00","211.00",""
"05/04/2026 00:00 - 06/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","05/04/2026 15:00 - 05/04/2026 16:00","211.00",""
"05/04/2026 00:00 - 06/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","05/04/2026 16:00 - 05/04/2026 17:00","211.00",""
"05/04/2026 00:00 - 06/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","05/04/2026 17:00 - 05/04/2026 18:00","211.00",""
"05/04/2026 00:00 - 06/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","05/04/2026 18:00 - 05/04/2026 19:00","211.00",""
"05/04/2026 00:00 - 06/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","05/04/2026 19:00 - 05/04/2026 20:00","211.00",""
"05/04/2026 00:00 - 06/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","05/04/2026 20:00 - 05/04/2026 21:00","211.00",""
"05/04/2026 00:00 - 06/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","05/04/2026 21:00 - 05/04/2026 22:00","211.00",""
"05/04/2026 00:00 - 06/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","05/04/2026 22:00 - 05/04/2026 23:00","211.00",""
"05/04/2026 00:00 - 06/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","05/04/2026 23:00 - 06/04/2026 00:00","211.00",""
"05/04/2026 00:00 - 06/04/2026 00:00","CTA|DE(Amprion)","RUHRORT-4","11WD7BEEC5XRUH4E","Fossil Coal-derived gas","11WD7BEEC5XRUH4E","05/04/2026 00:00 - 05/04/2026 01:00","0.00",""
