"Time Interval (CET/CEST)","Area","Unit Name","Unit Code","Type","Instance Code","MTU (CET/CEST)","Generation (MW)","Consumption (MW)"
"23/04/2026 00:00 - 24/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","23/04/2026 00:00 - 23/04/2026 01:00","211.00",""
"23/04/2026 00:00 - 24/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","23/04/2026 01:00 - 23/04/2026 02:00","208.25",""
"23/04/2026 00:00 - 24/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","23/04/2026 02:00 - 23/04/2026 03:00","200.75",""
"23/04/2026 00:00 - 24/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","23/04/2026 03:00 - 23/04/2026 04:00","206.25",""
"23/04/2026 00:00 - 24/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","23/04/2026 04:00 - 23/04/2026 05:00","209.50",""
"23/04/2026 00:00 - 24/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","23/04/2026 05:00 - 23/04/2026 06:00","204.25",""
"23/04/2026 00:00 - 24/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","23/04/2026 06:00 - 23/04/2026 07:00","198.50",""
"23/04/2026 00:00 - 24/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","23/04/2026 07:00 - 23/04/2026 08:00","198.75",""
"23/04/2026 00:00 - 24/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","23/04/2026 08:00 - 23/04/2026 09:00","198.25",""
"23/04/2026 00:00 - 24/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","23/04/2026 09:00 - 23/04/2026 10:00","194.50",""
"23/04/2026 00:00 - 24/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","23/04/2026 10:00 - 23/04/2026 11:00","200.50",""
"23/04/2026 00:00 - 24/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","23/04/2026 11:00 - 23/04/2026 12:00","211.00",""
"23/04/2026 00:00 - 24/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","23/04/2026 12:00 - 23/04/2026 13:00","211.00",""
