"Time Interval (CET/CEST)","Area","Unit Name","Unit Code","Type","Instance Code","MTU (CET/CEST)","Generation (MW)","Consumption (MW)"
"01/04/2026 00:00 - 02/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","01/04/2026 00:00 - 01/04/2026 01:00","211.00",""
"01/04/2026 00:00 - 02/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","01/04/2026 01:00 - 01/04/2026 02:00","198.75",""
"01/04/2026 00:00 - 02/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","01/04/2026 02:00 - 01/04/2026 03:00","196.00",""
"01/04/2026 00:00 - 02/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","01/04/2026 03:00 - 01/04/2026 04:00","197.25",""
"01/04/2026 00:00 - 02/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","01/04/2026 04:00 - 01/04/2026 05:00","194.00",""
"01/04/2026 00:00 - 02/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","01/04/2026 05:00 - 01/04/2026 06:00","195.00",""
"01/04/2026 00:00 - 02/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","01/04/2026 06:00 - 01/04/2026 07:00","196.25",""
"01/04/2026 00:00 - 02/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","01/04/2026 07:00 - 01/04/2026 08:00","199.25",""
"01/04/2026 00:00 - 02/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","01/04/2026 08:00 - 01/04/2026 09:00","200.75",""
"01/04/2026 00:00 - 02/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","01/04/2026 09:00 - 01/04/2026 10:00","200.00",""
"01/04/2026 00:00 - 02/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","01/04/2026 10:00 - 01/04/2026 11:00","187.25",""
"01/04/2026 00:00 - 02/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","01/04/2026 11:00 - 01/04/2026 12:00","190.00",""
"01/04/2026 00:00 - 02/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","01/04/2026 12:00 - 01/04/2026 13:00","199.75",""
"01/04/2026 00:00 - 02/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","01/04/2026 13:00 - 01/04/2026 14:00","211.00",""
"01/04/2026 00:00 - 02/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","01/04/2026 14:00 - 01/04/2026 15:00","211.00",""
"01/04/2026 00:00 - 02/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","01/04/2026 15:00 - 01/04/2026 16:00","211.00",""
"01/04/2026 00:00 - 02/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","01/04/2026 16:00 - 01/04/2026 17:00","211.00",""
"01/04/2026 00:00 - 02/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","01/04/2026 17:00 - 01/04/2026 18:00","211.00",""
"01/04/2026 00:00 - 02/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","01/04/2026 18:00 - 01/04/2026 19:00","211.00",""
"01/04/2026 00:00 - 02/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","01/04/2026 19:00 - 01/04/2026 20:00","211.00",""
"01/04/2026 00:00 - 02/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","01/04/2026 20:00 - 01/04/2026 21:00","211.00",""
"01/04/2026 00:00 - 02/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","01/04/2026 21:00 - 01/04/2026 22:00","211.00",""
"01/04/2026 00:00 - 02/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","01/04/2026 22:00 - 01/04/2026 23:00","211.00",""
