"Time Interval (CET/CEST)","Area","Unit Name","Unit Code","Type","Instance Code","MTU (CET/CEST)","Generation (MW)","Consumption (MW)"
"03/04/2026 00:00 - 04/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","03/04/2026 00:00 - 03/04/2026 01:00","211.00",""
"03/04/2026 00:00 - 04/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","03/04/2026 01:00 - 03/04/2026 02:00","163.50",""
"03/04/2026 00:00 - 04/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","03/04/2026 02:00 - 03/04/2026 03:00","118.50",""
"03/04/2026 00:00 - 04/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","03/04/2026 03:00 - 03/04/2026 04:00","165.00",""
"03/04/2026 00:00 - 04/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","03/04/2026 04:00 - 03/04/2026 05:00","140.25",""
"03/04/2026 00:00 - 04/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","03/04/2026 05:00 - 03/04/2026 06:00","141.75",""
"03/04/2026 00:00 - 04/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","03/04/2026 06:00 - 03/04/2026 07:00","116.50",""
"03/04/2026 00:00 - 04/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","03/04/2026 07:00 - 03/04/2026 08:00","113.75",""
"03/04/2026 00:00 - 04/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","03/04/2026 08:00 - 03/04/2026 09:00","151.00",""
"03/04/2026 00:00 - 04/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","03/04/2026 09:00 - 03/04/2026 10:00","162.75",""
"03/04/2026 00:00 - 04/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","03/04/2026 10:00 - 03/04/2026 11:00","184.75",""
"03/04/2026 00:00 - 04/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","03/04/2026 11:00 - 03/04/2026 12:00","201.00",""
"03/04/2026 00:00 - 04/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","03/04/2026 12:00 - 03/04/2026 13:00","211.00",""
"03/04/2026 00:00 - 04/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","03/04/2026 13:00 - 03/04/2026 14:00","211.00",""
"03/04/2026 00:00 - 04/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","03/04/2026 14:00 - 03/04/2026 15:00","211.00",""
"03/04/2026 00:00 - 04/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","03/04/2026 15:00 - 03/04/2026 16:00","211.00",""
"03/04/2026 00:00 - 04/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","03/04/2026 16:00 - 03/04/2026 17:00","211.00",""
"03/04/2026 00:00 - 04/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","03/04/2026 17:00 - 03/04/2026 18:00","211.00",""
"03/04/2026 00:00 - 04/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","03/04/2026 18:00 - 03/04/2026 19:00","211.00",""
