"Time Interval (CET/CEST)","Area","Unit Name","Unit Code","Type","Instance Code","MTU (CET/CEST)","Generation (MW)","Consumption (MW)"
"21/04/2026 00:00 - 22/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","21/04/2026 00:00 - 21/04/2026 01:00","211.00",""
"21/04/2026 00:00 - 22/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","21/04/2026 01:00 - 21/04/2026 02:00","203.75",""
"21/04/2026 00:00 - 22/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","21/04/2026 02:00 - 21/04/2026 03:00","198.50",""
"21/04/2026 00:00 - 22/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","21/04/2026 03:00 - 21/04/2026 04:00","200.25",""
"21/04/2026 00:00 - 22/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","21/04/2026 04:00 - 21/04/2026 05:00","203.25",""
"21/04/2026 00:00 - 22/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","21/04/2026 05:00 - 21/04/2026 06:00","210.25",""
"21/04/2026 00:00 - 22/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","21/04/2026 06:00 - 21/04/2026 07:00","203.25",""
"21/04/2026 00:00 - 22/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","21/04/2026 07:00 - 21/04/2026 08:00","203.00",""
"21/04/2026 00:00 - 22/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","21/04/2026 08:00 - 21/04/2026 09:00","204.75",""
"21/04/2026 00:00 - 22/04/2026 00:00","CTA|DE(Amprion)","HAMBORN-5","11WD7BEEC5XHAM5G","Fossil Coal-derived gas","11WD7BEEC5XHAM5G","21/04/2026 09:00 - 21/04/2026 10:00","211.00",""
